solvability,accuracy,appropriateness,topic,addition,subtraction,multiplication,division,fractions,decimals,no_ops,total_ops,good,question,solution,answer,gpt35,gpt4,llama,llema,mammoth,mathwell,fkgl,ndc,question_length,solution_length
1,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,"Fortnite is a battle royale game. 100 players drop from the battle bus. 50 of them are from the USA, 20 of them are from the UK, 15 of them are from Germany, and the rest are from Canada. How many players are from Canada?","def solution():
    #Total players
    total_players = 100
    #50 of them are from the USA
    usa_players = 50
    #20 of them are from the UK
    uk_players = 20
    #15 of them are from Germany
    germany_players = 15
    #The rest are from Canada
    canada_players = total_players - usa_players - uk_players - germany_players
    #The answer is
    result = canada_players
    return result",15,0,0,1,0,0,0,3.0,8.06,64,140
0,,,1,,,,,,,,,0,How many cobblestones are there now?,"def solution():
    #There are 500 cobblestones in the first year
    cobblestones_first_year = 500
    #In the second year, 100 new cobblestones were added, and 250 cobblestones were mined
    cobblestones_second_year = cobblestones_first_year + 100 - 250
    #In the third year, 300 more cobblestones were mined
    cobblestones_third_year = cobblestones_second_year - 300
    #The answer
    return result",1000,0,0,0,0,1,0,2.1,6.57,12,159
0,,,1,,,,,,,,,0,Patrick Mahomes threw 26 touchdown passes in the first 8 games of the 2018 season. He threw 25 touchdown passes in the next 8 games. How many touchdown passes did he throw in the last 8 games?,"def solution():
    #Patrick Mahomes threw 26 touchdown passes in the first 8 games of the 2018 season
    touchdowns_first_8_games = 26
    #He threw 25 touchdown passes in the next 8 games
    touchdowns_second_8_games = 25
    #The answer is
    result = touchdowns_first_8_games + touchdowns_second_8_games
    return result",51,0,0,1,0,0,0,3.4,8.09,57,118
0,,,1,,,,,,,,,0,There are 100 cats in a room. 3/4 of the cats are black and 1/2 of the cats are orange. How many cats are orange and black?,"def solution():
    #There are 100 cats in a room
    cats = 100
    #3/4 of the cats are black
    black_cats = cats * 0.75
    #1/2 of the cats are orange
    orange_cats = cats * 0.50
    #The number of cats that are both black and orange is the number of black cats minus the number of orange cats
    both_black_and_orange_cats = black_cats - orange_cats
    return both_black_and_orange_cats",25.0,0,0,1,0,0,0,0.9,7.59,44,146
1,0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0,Mentos sell for $3.25 per bag. How much do 4 bags of Mentos cost?,"def solution(): #Mentos sell for$3.25 per bag
    candy_price_per_bag = 3.25
    #The price of 4 bags is
    return result",5,0,0,0,1,0,0,-0.9,10.64,27,48
1,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,Wonder Woman has 100 arrows and 1000 bullets. She needs to use all of her arrows and bullets to fight the bad guys. How many total shots can she make?,"def solution():
    #Wonder Woman has 100 arrows and 1000 bullets
    arrows = 100
    bullets = 1000
    #The total shots she can make is the sum of the arrows and bullets
    total_shots = arrows + bullets
    return total_shots",1100,0,0,0,0,1,0,2.5,8.34,46,83
1,1.0,1.0,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1,A trainer has 600 Pokémon. He releases 120 of them and then 30% of the remaining Pokémon. How many Pokémon are left?,"def solution():
    # The trainer started with 600 Pokémon
    pokemon_initial = 600
    # He released 120 Pokémon
    pokemon_released = 120
    # The remaining Pokémon after releasing 120
    pokemon_remaining_after_release = pokemon_initial - pokemon_released
    # 30% of the remaining Pokémon were released
    pokemon_released_after = pokemon_remaining_after_release * 0.3
    # The remaining Pokémon at the end
    pokemon_remaining = pokemon_remaining_after_release - pokemon_released_after
    # The answer is
    result = pokemon_remaining
    return result",336.0,0,0,0,0,1,0,3.8,9.02,42,186
0,,,1,,,,,,,,,0,"Harry's Hogwarts letters were delivered to 12 Grimmauld Place. 4 of the letters were from Professor McGonagall. 5 of the letters were from Professor Snape. The rest of the letters were from Professor Flitwick. How many letters from Professor Flitwick were delivered to 12 Grimmauld Place?
1.","def solution():
    #Total number of letters
    total_letters = 12
    #Letters from Professor McGonagall
    mcgonagall_letters = 4
    #Letters from Professor Snape
    snape_letters = 5
    #The answer is
    flitwick_letters = total_letters - mcgonagall_letters - snape_letters
    return flitwick_letters",3,0,0,0,1,0,0,5.8,8.47,80,110
0,,,1,,,,,,,,,0,"12 people are playing football. The field, the players, and the referee need to be numbered. How many numbers are needed to number the field?","def solution():
    #There are 12 people playing football
    people = 12
    #The field needs to be numbered
    field = people
    #The referee needs to be numbered
    referee = 1
    #The players need to be numbered
    players = people - referee
    #The field, the players, and the referee need to be numbered
    answer = field + players + referee
    return answer",24,0,0,0,1,0,0,4.2,8.47,35,105
1,1.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,Spiderman can climb 200 feet in one minute. How many feet can he climb in 10 minutes?,"def solution():
    #Spiderman can climb 200 feet in one minute
    feet_per_minute = 200
    #He climbs for 10 minutes
    minutes = 10
    #The answer is
    result = feet_per_minute * minutes
    return result
print(solution())",2000,0,0,0,0,1,0,1.9,7.77,29,80
1,1.0,1.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1,"30 people are going to a pizza party. 20 of them are going to eat 3 slices of pizza, 5 of them are going to eat 5 slices of pizza, and the rest of them are going to eat 7 slices of pizza. How many slices of pizza are going to be eaten in total?","def solution():
    #Total people
    total_people = 30
    #20 of them are going to eat 3 slices of pizza
    three_slices_people = 20
    #5 of them are going to eat 5 slices of pizza
    five_slices_people = 5
    #The rest of them are going to eat 7 slices of pizza
    seven_slices_people = total_people - three_slices_people - five_slices_people
    #The total number of slices is
    result = three_slices_people * 3 + five_slices_people * 5 + seven_slices_people * 7
    return result",120,0,0,1,0,0,0,6.9,6.84,79,167
1,1.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0,"Harry Potter is playing a game of Quidditch. In the game, there are 3 players on the field for each team. Each team has a Keeper, a Seeker, and a Chaser. 

The Keeper's job is to guard the team's goalposts. The Seeker's job is to catch the Golden Snitch, a small flying ball that can earn the team extra points. The Chaser's job is to throw the Quaffle, a larger ball, through the goalposts to score points.

There are 2 teams playing, so there are a total of 3 players per team * 2 teams = 6 players on the field.

How many players are playing the game of Quidditch?","def solution():

    # number of players per team

    players_per_team = 3

    # number of teams

    teams = 2

    # total players

    total_players = players_per_team * teams

    return total_players",6,0,0,0,0,1,0,3.8,7.96,167,67
1,1.0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,LeBron James has 1000 points. He scores 100 points in 2019 and 200 points in 2021. How many points does he have left?,"def solution():
    #LeBron started with 1000 points
    points_initial = 1000
    #He scored 100 points in 2019
    points_2019 = 100
    #He scored 200 points in 2021
    points_2021 = 200
    #The answer is
    result = points_initial - points_2019 - points_2021
    return result",700,0,0,1,0,0,0,-0.9,10.2,47,118
0,,,1,,,,,,,,,0,"If you have $10 and you buy 3 scoops of ice cream, how much money do you have left?","def solution():
    # define the initial amount of money
    initial_money = 10
    # define the cost of one scoop of ice cream
    cost_per_scoop = 3
    # calculate the total cost for 3 scoops
    total_cost = cost_per_scoop * 3
    # calculate the remaining money
    remaining_money = initial_money - total_cost
    # return the result
    return remaining_money
print(solution())",1,0,0,0,0,1,0,4.8,7.07,28,119
1,1.0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,"Harry Potter is a wizard. He has 500 spells. 200 of them are in his wand, 100 of them are in his book, and the rest are in his mind. How many spells are in his mind?","def solution():
    #Harry Potter has 500 spells
    spells = 500
    #200 of them are in his wand
    wand_spells = 200
    #100 of them are in his book
    book_spells = 100
    #The answer is
    result = spells - wand_spells - book_spells
    return result",200,0,0,0,0,1,0,1.0,7.51,57,99
0,,,1,,,,,,,,,0,"Mario is the star of most of the Nintendo games. He can eat mushrooms that give him additional lives.
In a 2020 game, Mario collected 10 more mushrooms than he did in a 2019 game. He also collected 17 more in a 2021 game. 
How many mushrooms did he collect in 2021?","def solution():
    #Mario started with 10 mushrooms in 2019
    mushrooms_2019 = 10
    #In 2020, he had 10 more
    mushrooms_2020 = 10 + mushrooms_2019
    #In 2021, he had 17 more
    mushrooms_2021 = mushrooms_2020 + 17
    #The answer is
    result = mushrooms_2021
    return result",37,0,0,0,1,0,0,3.8,7.8,89,137
1,1.0,1.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1,Spiderman can shoot 20 webs in 5 minutes. How many webs can he shoot in 10 minutes?,"def solution():
    # Spiderman shoots 20 webs in 5 minutes
    webs_per_5_minutes = 20
    # The answer is
    result = (webs_per_5_minutes * 10) / 5
    return result
print(solution())",40.0,0,0,0,0,1,0,1.9,9.63,29,74
0,,,1,,,,,,,,,0,"The University of Oregon Women’s Volleyball team won 30 matches in the 2022 season and lost 5 matches in the 2022 season. If there are 34 matches in the volleyball season, how many matches did the Ducks tie?","def solution():
    #The University of Oregon Women’s Volleyball team won 30 matches in the 2022 season
    won = 30
    #lost 5 matches in the 2022 season
    lost = 5
    #If there are 34 matches in the volleyball season
    total_matches = 34
    #The answer is
    points = total_matches - won - lost
    return result",5,0,0,0,1,0,0,8.3,8.73,63,105
1,1.0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,Black Panther has 50000 vibranium coins. He lost 17500 of them in a robbery. He gave 2500 coins to Storm. How many coins does Black Panther have left?,"def solution():
    #Black Panther has 50000 vibranium coins
    black_panther_initial_coins = 50000
    #He lost 17500 in a robbery
    lost_robby = 17500
    #He gave 2500 coins to Storm
    black_panther_storm = 2500
    #The answer is
    result = black_panther_initial_coins - lost_robby - black_panther_storm
    return result",30000,0,0,0,1,0,0,1.3,7.93,57,137
1,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,There are 1000 cars in a parking lot. 200 of them are SUVs. 400 of them are trucks. 100 of them are vans. The rest are sedans. How many sedans are there?,"def solution():
    total_cars = 1000
    suvs = 200
    trucks = 400
    vans = 100
    sedans = total_cars - suvs - trucks - vans
    return sedans",300,0,0,0,0,1,0,-0.6,8.83,60,68
1,1.0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,Mario has 22 coins. He finds 30 more and then loses 12. How many coins does he have at the end?,"def solution():
    #Mario started with 22 coins
    coins_initial = 22
    #He finds 30 more
    coins_found = 30
    #He loses 12
    coins_lost = 12
    #The total coins he has is 
    result = coins_initial + coins_found - coins_lost
    return result",40,0,0,0,1,0,0,-1.2,9.25,34,97
1,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,Iron Man ate 100 burgers for lunch and 100 burgers for dinner. How many burgers did Iron Man eat in all?,"def solution():
    #Number burgers Iron Man ate for lunch
    lunch_burgers = 100
    #Number burgers Iron Man ate for dinner
    dinner_burgers = 100
    #Total burgers Iron Man ate
    burgers = lunch_burgers + dinner_burgers
    return burgers",200,0,0,0,1,0,0,2.7,5.66,35,82
0,,,1,,,,,,,,,0,"Captain America is fighting a super villain. He has 50 throwing shields. 25 of them are in his shield belt, 15 of them are in his shield backpack, and 5 of them are in his shield suitcase. How many throwing shields does Captain America have on his person?","def solution():
    #Captain America has 50 throwing shields
    shields_total = 50
    #25 of them are in his shield belt
    shields_belt = 25
    #15 of them are in his shield backpack
    shields_backpack = 15
    #5 of them are in his shield suitcase
    shields_suitcase = 5
    #The answer is
    result = shields_total - shields_belt - shields_backpack - shields_suitcase
    return result",5,0,0,1,0,0,0,4.4,8.18,68,133
1,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,A fight broke out at the Daily Express. Captain Marvel gets outnumbered and 5 villains are fighting her. She kills 3 of them and puts the rest in jail. How many villains did she kill?,"def solution():
    #5 villains are fighting her
    villains_in_fight = 5
    #3 of them are killed
    killed_villains = 3
    #2 are put in jail
    jail_villains = villains_in_fight - killed_villains
    #The answer is
    result = killed_villains
    return result",3,0,0,0,1,0,0,3.2,8.58,48,89
1,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,"A car dealership has 20 cars. They sell 10 cars, and then buy 5 more cars. How many cars do they have left?","def solution():
    # initial number of cars
    initial_cars = 20
    # number of cars sold
    sold_cars = 10
    # number of cars bought
    bought_cars = 5
    # calculate the remaining cars
    remaining_cars = initial_cars - sold_cars + bought_cars
    return remaining_cars",15,0,0,0,0,1,0,0.4,7.45,34,89
0,,,1,,,,,,,,,0,"Ninja wants to play Fortnite on Playstation 4.  Fortnite costs $15.00, but a new game costs$45.00. How much more does the new game for PS4 cost than the original game?","def solution():
    #Fortnite costs $15.00  #A new game costs$45.00
    new_game_cost = 45
    #The answer is
    difference = new_game_cost - 15
    result = difference
    return result",30,0,0,0,1,0,0,1.5,9.8,55,69
1,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Steph Curry has 6000 points. He has 2000 more points than LeBron James. How many points does LeBron James have?,"def solution():
    #Steph Curry has 6000 points
    steph_points = 6000
    #He has 2000 more points than LeBron James
    lebron_points = steph_points - 2000
    #The answer is
    result = lebron_points
    return result",4000,0,0,1,0,0,0,1.2,9.5,37,84
1,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,"If a cookie jar has 12 cookies, and 5 of them are chocolate chip, how many of the cookies are not chocolate chip?","def solution():
    # Total number of cookies
    total_cookies = 12
    # Number of chocolate chip cookies
    chocolate_chip_cookies = 5
    # Number of cookies that are not chocolate chip
    not_chocolate_chip_cookies = total_cookies - chocolate_chip_cookies
    return not_chocolate_chip_cookies
print(solution())",7,0,0,0,0,1,0,7.5,6.15,34,106
1,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,"A bakery baked 100 cookies on Monday. On Tuesday, they baked 150 cookies. On Wednesday, they baked 200 cookies. On Thursday, they baked 100 cookies. How many cookies did they bake?","def solution():
    #The bakery baked 100 cookies on Monday
    cookies_monday = 100
    #150 cookies on Tuesday
    cookies_tuesday = 150
    #200 cookies on Wednesday
    cookies_wednesday = 200
    #100 cookies on Thursday
    cookies_thursday = 100
    #The answer is
    result = cookies_monday + cookies_tuesday + cookies_wednesday + cookies_thursday
    return result",550,0,0,1,0,0,0,2.2,5.98,65,136
0,,,1,,,,,,,,,0,A swimming pool is 50 yards long. Swimmers can swim 10 laps in 15 minutes. How many more laps can they swim in 23 hours?,"def solution():
    #The pool is 25 yards long
    pool_length = 23
    #23 hours is 1380 minutes
    minutes_23_hours = 1380
    #The answer is
    result = minutes_23_hours
    return result",1380,0,0,0,1,0,0,0.6,9.73,44,73
1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,Iron Man has 1000 HP. 100 HP is 10% of Iron Man's max HP. How much HP does Iron Man have at max?,"def solution():
    #Iron Man has 1000 HP
    iron_man_hp = 1000
    #100 HP is 10% of Iron Man's max HP
    iron_man_hp_max = iron_man_hp / 0.10
    #The answer is
    result = iron_man_hp_max
    return result",10000.0,0,0,1,0,0,0,-0.9,8.14,43,94
1,0.0,0.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0,There are 5 trains on a track. The first train is going 20 miles per hour. The second train is going 10 miles per hour. The third train is going 5 miles per hour. The fourth train is going 2 miles per hour. The fifth train is going 1 mile per hour. How fast is the fifth train going compared to the first train?,"def solution():
    #First train is going 20 miles per hour
    first_train = 20
    #Second train is going 10 miles per hour
    second_train = 10
    #Third train is going 5 miles per hour
    third_train = 5
    #Fourth train is going 2 miles per hour
    fourth_train = 2
    #Fifth train is going 1 mile per hour
    fifth_train = 1
    #The answer is
    result = first_train - fifth_train
    return result",19,0,0,1,0,0,0,0.9,6.31,80,134
1,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Captain Marvel is at a movie premiere. 1000 people are in the front row. 2000 people are in the middle row. 3000 people are in the back row. How many people are at the premiere?,"def solution():
    #Captain Marvel has 1000 people in the front row
    front_row_people = 1000
    #2000 people in the middle row
    middle_row_people = 2000
    #3000 people in the back row
    back_row_people = 3000
    #The answer is
    result = front_row_people + middle_row_people + back_row_people
    return result",6000,0,0,1,0,0,0,2.5,6.24,55,115
1,1.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0,Iron Man is a superhero. He can charge himself 2000 times in 10 minutes. How many times can he charge himself in 2 hours?,"def solution():
    #Iron Man can charge himself 2000 times in 10 minutes
    charges_per_10_minutes = 2000
    #2 hours is 120 minutes
    minutes_2_hours = 120
    #The answer is
    result = (charges_per_10_minutes / 10) * minutes_2_hours
    return result",24000.0,0,0,0,1,0,0,1.7,8.64,37,102
1,1.0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,"Patrick Mahomes has 24 touchdown passes. 12 of them are in the first half, 7 of them are in the second half, and the rest are in overtime. How many touchdown passes does Patrick Mahomes have in overtime?","def solution():
    #Patrick Mahomes has 24 touchdown passes
    total_touchdowns = 24
    #12 of them are in the first half
    first_half_touchdowns = 12
    #7 of them are in the second half
    second_half_touchdowns = 7
    #The rest are in overtime. The answer is
    overtime_touchdowns = total_touchdowns - first_half_touchdowns - second_half_touchdowns
    return overtime_touchdowns",5,0,0,1,0,0,0,3.5,7.59,57,131
0,,,1,,,,,,,,,0,Power Rangers is a 3 hour long television show. 16 minutes is dedicated to recapping the plot. How much of the Power Rangers show is not recaps of the plot?,"def solution():
    #3 hour long television show
    minutes = 180
    #16 minutes is dedicated to recapping the plot
    plot = 16
    #How much of the Power Rangers show is not recaps of the plot?
    result = minutes - plot
    return result",164,0,0,0,1,0,0,4.8,8.87,41,70
0,,,1,,,,,,,,,0,"Raphael, Michelangelo, Donatello and Leonardo have a team. In the third season they trained 45 new members. They train new members daily. 
How many members do they train on a weekly basis?","def solution():
    #Raphael, Michelangelo, Donatello and Leonardo
    team= 4
    #In the third season they trained 45 new members
    ninjas_initial = 45
    #They train new members daily. The answer is
    result = ninjas_initial / team 
    return result",11.25,0,0,0,1,0,0,4.1,8.47,51,79
0,,,1,,,,,,,,,0,Batman can jump 60 feet to the ground before he loses too much speed. Robin jumps 15 feet to the ground before he loses too much speed. A gangster is 75 feet from the ground. What's the maximum number of jumps Robin and Batman can do from the highest floor before they reach the gangster?,"def solution():
    #Batman can jump 60 feet to the ground
    jump_distance_batman = 60
    #Batman uses 3 jumps from 90 feet
    batman_use_jumps = 3
    #Robin can jump 15 feet to the ground
    jump_distance_robin  = 15
    #Robin uses 6 jumps from 90 feet
    robin_use_jumps = 6
    #How many jumps total per person
    jumps_per_person = batman_use_jumps + robin_use_jumps
    #Sixteen jumps are made (2 Batmans and 2 Robins
    return result",5,0,0,0,1,0,0,4.0,6.9,76,170
1,1.0,0.0,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0,"Batman has 5000 Joker coins, 2000 Batman coins, and 7000 Poison Ivy coins. He wants to distribute them to three different Joker's henchmen. He gives 1/3 of his Joker coins, 2/5 of his Batman coins, and 2/3 of his Poison Ivy coins to each of the Joker's henchmen. How many Joker coins does each Joker's henchman get?","def solution():
    #Batman has 5000 Joker coins
    joker_coins_total = 5000
    #Batman gives 1/3 of his Joker coins
    joker_coins_given = joker_coins_total / 3
    #The answer is
    result = joker_coins_given
    return result",1666.6666666666667,0,0,0,1,0,0,5.3,8.78,120,95
0,,,1,,,,,,,,,0,"Basketball legend, Steph Curry, scored a total of 229 three pointers in the 2015-2016 NBA season. 
How many three pointers did he shoot each game he played?","def solution():
    #Steph Curry made a total of 229 three pointers
    total_three_pointers_made = 229
    #Steph Curry played 77 games that season
    games_played = 77
    #The answer is
    result = total_three_pointers_made / games_played
    return result",2.9740259740259742,0,0,0,1,0,0,5.0,11.32,47,87
1,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,Taylor Swift has 200 albums. She gave 25 to her best friend and 50 to her little sister. How many albums does she have left?,"def solution():
    #Taylor Swift started with 200 albums
    albums_initial = 200
    #She gave 25 to her best friend
    albums_given_friend = 25
    #And 50 to her little sister
    albums_given_sister = 50
    #The answer is
    result = albums_initial - albums_given_friend - albums_given_sister
    return result",125,0,0,1,0,0,0,1.8,7.21,36,107
1,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,"Barbie wants to buy 100 scoops of ice cream. She wants to buy 30 scoops of vanilla, 20 scoops of chocolate, and 15 scoops of strawberry. How many scoops of ice cream does she have left to buy?","def solution():
    #Barbie wants to buy 100 scoops of ice cream
    total_scoops = 100
    #30 scoops of vanilla
    vanilla_scoops = 30
    #20 scoops of chocolate
    chocolate_scoops = 20
    #15 scoops of strawberry
    strawberry_scoops = 15
    #The answer is
    result = total_scoops - vanilla_scoops - chocolate_scoops - strawberry_scoops
    return result",35,0,0,1,0,0,0,2.3,7.59,71,150
1,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Steph Curry made 1000 3-pointers in 2019. He made 1100 3-pointers in 2020. How many 3-pointers did Steph Curry make in 2019 and 2020?,"def solution():
    #Steph Curry made 1000 3-pointers in 2019
    steph_3_pointers_2019 = 1000
    #He made 1100 3-pointers in 2020
    steph_3_pointers_2020 = 1100
    #The answer is
    result = steph_3_pointers_2019 + steph_3_pointers_2020
    return result",2100,0,0,1,0,0,0,1.7,9.3,66,128
0,,,1,,,,,,,,,0,Super Mario can jump 10 feet in the air and 15 feet to the side. He is 100 feet away from the princess. How many jumps does it take for Mario to reach the princess?,"def solution():
    # Mario's total distance per jump is the hypotenuse of a right triangle with legs of 10 feet and 15 feet
    jump_distance = ((10**2 + 15**2)**0.5)
    # The number of jumps is the total distance divided by the distance per jump
    num_jumps = 100 / jump_distance
    return num_jumps
print(solution())",5.547001962252291,0,0,0,0,1,0,0.8,6.92,49,104
